,Propriété,statuts,total HT,Texte,date_debut,time_delta,date_fin,extra_clean,Année,Mois,Semaine,marge,Jour,mois,Fake_extra_clean,Fake_Propriété,Fake_total HT,Fake_montant HT,,,,,,,,,
14,Propriété 3,standard,838,,2024-01-07 08:00:00,0 days 12:00:00,2024-01-07 20:00:00,Dr Glen Jackson,2024,2024-01,2024-01-02/2024-01-08,72,2024-01-07,janvier,Dr Glen Jackson,Propriété 3,838,340,,,,,,,,,
15,Propriété 2,standard,232,,2024-01-06 22:30:00,0 days 08:45:00,2024-01-07 07:15:00,Dr Gavin Winter,2024,2024-01,2024-01-02/2024-01-08,40,2024-01-07,janvier,Dr Gavin Winter,Propriété 2,232,119,,,,,,,,,
16,Propriété 4,standard,178,,2024-01-06 22:30:00,0 days 09:30:00,2024-01-07 08:00:00,Kimberley Roberts,2024,2024-01,2024-01-02/2024-01-08,45,2024-01-07,janvier,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
17,Propriété 5,annulé hôtel,762,,2024-01-06 19:30:00,0 days 12:00:00,2024-01-07 07:30:00,Janet Osborne,2024,2024-01,2024-01-02/2024-01-08,60,2024-01-07,janvier,Janet Osborne,Propriété 5,762,340,,,,,,,,,
18,Propriété 3,standard,838,,2024-01-06 08:00:00,0 days 12:00:00,2024-01-06 20:00:00,Dr Glen Jackson,2024,2024-01,2024-01-02/2024-01-08,72,2024-01-06,janvier,Dr Glen Jackson,Propriété 3,838,340,,,,,,,,,
19,Propriété 4,standard,178,,2024-01-05 22:30:00,0 days 09:30:00,2024-01-06 08:00:00,Kimberley Roberts,2024,2024-01,2024-01-02/2024-01-08,45,2024-01-06,janvier,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
20,Propriété 5,annulé hôtel,762,,2024-01-05 19:30:00,0 days 12:00:00,2024-01-06 07:30:00,Janet Osborne,2024,2024-01,2024-01-02/2024-01-08,60,2024-01-06,janvier,Janet Osborne,Propriété 5,762,340,,,,,,,,,
21,Propriété 4,standard,178,,2024-01-04 22:30:00,0 days 09:30:00,2024-01-05 08:00:00,Kimberley Roberts,2024,2024-01,2024-01-02/2024-01-08,45,2024-01-05,janvier,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
22,Propriété 5,annulé hôtel,762,,2024-01-04 19:30:00,0 days 12:00:00,2024-01-05 07:30:00,Dr Gavin Winter,2024,2024-01,2024-01-02/2024-01-08,60,2024-01-05,janvier,Dr Gavin Winter,Propriété 5,762,340,,,,,,,,,
23,Propriété 4,standard,193,,2024-01-03 15:30:00,0 days 06:30:00,2024-01-03 22:00:00,Damien Martin,2024,2024-01,2024-01-02/2024-01-08,30,2024-01-03,janvier,Damien Martin,Propriété 4,193,645,,,,,,,,,
24,Propriété 1,standard,1036,,2024-01-02 20:00:00,0 days 12:00:00,2024-01-03 08:00:00,Henry Shaw,2024,2024-01,2024-01-02/2024-01-08,48,2024-01-03,janvier,Henry Shaw,Propriété 1,1036,340,,,,,,,,,
25,Propriété 4,standard,193,,2024-01-02 15:30:00,0 days 06:30:00,2024-01-02 22:00:00,Damien Martin,2024,2024-01,2024-01-02/2024-01-08,30,2024-01-02,janvier,Damien Martin,Propriété 4,193,645,,,,,,,,,
26,Propriété 2,urgente,112,,2024-01-01 22:30:00,0 days 08:45:00,2024-01-02 07:15:00,Deborah Bradley,2024,2024-01,2024-01-02/2024-01-08,80,2024-01-02,janvier,Deborah Bradley,Propriété 2,112,119,,,,,,,,,
27,Propriété 6,urgente,446,,2024-01-01 21:00:00,0 days 10:00:00,2024-01-02 07:00:00,Kimberley Roberts,2024,2024-01,2024-01-02/2024-01-08,100,2024-01-02,janvier,Kimberley Roberts,Propriété 6,446,91,,,,,,,,,
28,Propriété 1,urgente,382,,2024-01-01 20:00:00,0 days 12:00:00,2024-01-02 08:00:00,Henry Shaw,2024,2024-01,2024-01-02/2024-01-08,120,2024-01-02,janvier,Henry Shaw,Propriété 1,382,340,,,,,,,,,
29,Propriété 2,urgente,112,,2023-12-31 22:30:00,0 days 08:45:00,2024-01-01 07:15:00,Stewart Green,2024,2024-01,2023-12-26/2024-01-01,80,2024-01-01,janvier,Stewart Green,Propriété 2,112,119,,,,,,,,,
30,Propriété 7,urgente,446,,2023-12-31 21:30:00,0 days 10:00:00,2024-01-01 07:30:00,Bryan Davidson-Hughes,2024,2024-01,2023-12-26/2024-01-01,100,2024-01-01,janvier,Bryan Davidson-Hughes,Propriété 7,446,91,,,,,,,,,
31,Propriété 8,urgente,402,,2023-12-31 20:00:00,0 days 11:00:00,2024-01-01 07:00:00,Damian Brady,2024,2024-01,2023-12-26/2024-01-01,110,2024-01-01,janvier,Damian Brady,Propriété 8,402,760,,,,,,,,,
32,Propriété 6,urgente,402,,2023-12-31 20:00:00,0 days 11:00:00,2024-01-01 07:00:00,Jade Doyle,2024,2024-01,2023-12-26/2024-01-01,110,2024-01-01,janvier,Jade Doyle,Propriété 6,402,760,,,,,,,,,
33,Propriété 9,urgente,382,,2023-12-31 20:00:00,0 days 12:00:00,2024-01-01 08:00:00,Kimberley Roberts,2024,2024-01,2023-12-26/2024-01-01,120,2024-01-01,janvier,Kimberley Roberts,Propriété 9,382,340,,,,,,,,,
34,Propriété 10,urgente,382,,2023-12-31 19:30:00,0 days 12:00:00,2024-01-01 07:30:00,Janet Osborne,2024,2024-01,2023-12-26/2024-01-01,120,2024-01-01,janvier,Janet Osborne,Propriété 10,382,340,,,,,,,,,
35,Propriété 5,urgente,382,,2023-12-31 19:30:00,0 days 12:00:00,2024-01-01 07:30:00,Robin Gordon,2024,2024-01,2023-12-26/2024-01-01,120,2024-01-01,janvier,Robin Gordon,Propriété 5,382,340,,,,,,,,,
36,Propriété 7,urgente,401,,2023-12-31 16:00:00,0 days 05:00:00,2023-12-31 21:00:00,Mrs Shannon Jones,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-31,décembre,Mrs Shannon Jones,Propriété 7,401,157,,,,,,,,,
37,Propriété 4,standard,178,,2023-12-30 22:30:00,0 days 09:30:00,2023-12-31 08:00:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,45,2023-12-31,décembre,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
38,Propriété 7,standard,112,,2023-12-30 21:30:00,0 days 10:00:00,2023-12-31 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-31,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
39,Propriété 6,standard,112,,2023-12-30 21:00:00,0 days 10:00:00,2023-12-31 07:00:00,Jade Doyle,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-31,décembre,Jade Doyle,Propriété 6,112,91,,,,,,,,,
40,Propriété 11,standard,762,,2023-12-30 20:00:00,0 days 12:00:00,2023-12-31 08:00:00,Damien Martin,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-31,décembre,Damien Martin,Propriété 11,762,340,,,,,,,,,
41,Propriété 12,standard,762,,2023-12-30 20:00:00,0 days 12:00:00,2023-12-31 08:00:00,Paige Oliver,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-31,décembre,Paige Oliver,Propriété 12,762,340,,,,,,,,,
42,Propriété 10,standard,762,,2023-12-30 19:30:00,0 days 12:00:00,2023-12-31 07:30:00,Mr Donald Evans,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-31,décembre,Mr Donald Evans,Propriété 10,762,340,,,,,,,,,
43,Propriété 5,standard,762,,2023-12-30 19:30:00,0 days 12:00:00,2023-12-31 07:30:00,Robin Gordon,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-31,décembre,Robin Gordon,Propriété 5,762,340,,,,,,,,,
44,Propriété 7,standard,193,,2023-12-30 15:00:00,0 days 06:00:00,2023-12-30 21:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-26/2024-01-01,30,2023-12-30,décembre,Hollie Smith-Lawrence,Propriété 7,193,645,,,,,,,,,
45,Propriété 7,standard,235,,2023-12-30 07:00:00,0 days 07:00:00,2023-12-30 14:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-26/2024-01-01,35,2023-12-30,décembre,Hollie Smith-Lawrence,Propriété 7,235,871,,,,,,,,,
46,Propriété 4,standard,178,,2023-12-29 22:30:00,0 days 09:30:00,2023-12-30 08:00:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,45,2023-12-30,décembre,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
47,Propriété 7,standard,112,,2023-12-29 21:30:00,0 days 10:00:00,2023-12-30 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-30,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
48,Propriété 6,standard,112,,2023-12-29 21:00:00,0 days 10:00:00,2023-12-30 07:00:00,Jade Doyle,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-30,décembre,Jade Doyle,Propriété 6,112,91,,,,,,,,,
49,Propriété 11,standard,762,,2023-12-29 20:00:00,0 days 12:00:00,2023-12-30 08:00:00,Damien Martin,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-30,décembre,Damien Martin,Propriété 11,762,340,,,,,,,,,
50,Propriété 12,standard,762,,2023-12-29 20:00:00,0 days 12:00:00,2023-12-30 08:00:00,Paige Oliver,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-30,décembre,Paige Oliver,Propriété 12,762,340,,,,,,,,,
51,Propriété 5,standard,762,,2023-12-29 19:30:00,0 days 12:00:00,2023-12-30 07:30:00,Robin Gordon,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-30,décembre,Robin Gordon,Propriété 5,762,340,,,,,,,,,
52,Propriété 7,standard,193,,2023-12-29 15:00:00,0 days 06:00:00,2023-12-29 21:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-26/2024-01-01,30,2023-12-29,décembre,Hollie Smith-Lawrence,Propriété 7,193,645,,,,,,,,,
53,Propriété 13,standard,178,,2023-12-28 22:00:00,0 days 09:30:00,2023-12-29 07:30:00,Deborah Bradley,2023,2023-12,2023-12-26/2024-01-01,45,2023-12-29,décembre,Deborah Bradley,Propriété 13,178,240,,,,,,,,,
54,Propriété 7,standard,112,,2023-12-28 21:30:00,0 days 10:00:00,2023-12-29 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-29,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
55,Propriété 14,standard,479,,2023-12-28 20:15:00,0 days 11:00:00,2023-12-29 07:15:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,66,2023-12-29,décembre,Kimberley Roberts,Propriété 14,479,760,,,,,,,,,
56,Propriété 6,standard,97,,2023-12-28 20:00:00,0 days 11:00:00,2023-12-29 07:00:00,Jade Doyle,2023,2023-12,2023-12-26/2024-01-01,55,2023-12-29,décembre,Jade Doyle,Propriété 6,97,760,,,,,,,,,
57,Propriété 5,standard,762,,2023-12-28 19:30:00,0 days 12:00:00,2023-12-29 07:30:00,Robin Gordon,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-29,décembre,Robin Gordon,Propriété 5,762,340,,,,,,,,,
58,Propriété 7,standard,193,,2023-12-28 15:00:00,0 days 06:00:00,2023-12-28 21:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-26/2024-01-01,30,2023-12-28,décembre,Hollie Smith-Lawrence,Propriété 7,193,645,,,,,,,,,
59,Propriété 7,standard,112,,2023-12-27 21:30:00,0 days 10:00:00,2023-12-28 07:30:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-28,décembre,Hollie Smith-Lawrence,Propriété 7,112,91,,,,,,,,,
60,Propriété 15,standard,838,,2023-12-27 20:30:00,0 days 12:00:00,2023-12-28 08:30:00,Linda Williamson,2023,2023-12,2023-12-26/2024-01-01,72,2023-12-28,décembre,Linda Williamson,Propriété 15,838,340,,,,,,,,,
61,Propriété 14,standard,479,,2023-12-27 20:15:00,0 days 11:00:00,2023-12-28 07:15:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,66,2023-12-28,décembre,Kimberley Roberts,Propriété 14,479,760,,,,,,,,,
62,Propriété 5,standard,762,,2023-12-27 19:30:00,0 days 12:00:00,2023-12-28 07:30:00,Dr Gavin Winter,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-28,décembre,Dr Gavin Winter,Propriété 5,762,340,,,,,,,,,
63,Propriété 7,standard,193,,2023-12-27 15:00:00,0 days 06:00:00,2023-12-27 21:00:00,Mrs Shannon Jones,2023,2023-12,2023-12-26/2024-01-01,30,2023-12-27,décembre,Mrs Shannon Jones,Propriété 7,193,645,,,,,,,,,
64,Propriété 7,standard,112,,2023-12-26 21:30:00,0 days 10:00:00,2023-12-27 07:30:00,Marcus Jones,2023,2023-12,2023-12-26/2024-01-01,50,2023-12-27,décembre,Marcus Jones,Propriété 7,112,91,,,,,,,,,
65,Propriété 15,standard,838,,2023-12-26 20:30:00,0 days 12:00:00,2023-12-27 08:30:00,Linda Williamson,2023,2023-12,2023-12-26/2024-01-01,72,2023-12-27,décembre,Linda Williamson,Propriété 15,838,340,,,,,,,,,
66,Propriété 14,standard,479,,2023-12-26 20:15:00,0 days 11:00:00,2023-12-27 07:15:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,66,2023-12-27,décembre,Kimberley Roberts,Propriété 14,479,760,,,,,,,,,
67,Propriété 5,standard,762,,2023-12-26 19:30:00,0 days 12:00:00,2023-12-27 07:30:00,Deborah Bradley,2023,2023-12,2023-12-26/2024-01-01,60,2023-12-27,décembre,Deborah Bradley,Propriété 5,762,340,,,,,,,,,
68,Propriété 16,standard,528,,2023-12-26 17:00:00,0 days 02:00:00,2023-12-26 19:00:00,Elizabeth Thomas,2023,2023-12,2023-12-26/2024-01-01,10,2023-12-26,décembre,Elizabeth Thomas,Propriété 16,528,200,,,,,,,,,
69,Propriété 17,standard,193,,2023-12-26 06:30:00,0 days 06:00:00,2023-12-26 12:30:00,Ms Catherine Harris,2023,2023-12,2023-12-26/2024-01-01,30,2023-12-26,décembre,Ms Catherine Harris,Propriété 17,193,645,,,,,,,,,
70,Propriété 4,urgente,157,,2023-12-25 22:30:00,0 days 09:30:00,2023-12-26 08:00:00,Jade Doyle,2023,2023-12,2023-12-26/2024-01-01,90,2023-12-26,décembre,Jade Doyle,Propriété 4,157,240,,,,,,,,,
71,Propriété 7,urgente,446,,2023-12-25 21:30:00,0 days 10:00:00,2023-12-26 07:30:00,Marcus Jones,2023,2023-12,2023-12-26/2024-01-01,100,2023-12-26,décembre,Marcus Jones,Propriété 7,446,91,,,,,,,,,
72,Propriété 15,urgente,382,,2023-12-25 20:30:00,0 days 12:00:00,2023-12-26 08:30:00,Linda Williamson,2023,2023-12,2023-12-26/2024-01-01,120,2023-12-26,décembre,Linda Williamson,Propriété 15,382,340,,,,,,,,,
73,Propriété 14,urgente,402,,2023-12-25 20:15:00,0 days 11:00:00,2023-12-26 07:15:00,Kimberley Roberts,2023,2023-12,2023-12-26/2024-01-01,110,2023-12-26,décembre,Kimberley Roberts,Propriété 14,402,760,,,,,,,,,
74,Propriété 10,urgente,382,,2023-12-25 19:30:00,0 days 12:00:00,2023-12-26 07:30:00,Dr Kieran Ball,2023,2023-12,2023-12-26/2024-01-01,120,2023-12-26,décembre,Dr Kieran Ball,Propriété 10,382,340,,,,,,,,,
75,Propriété 5,urgente,139,,2023-12-25 07:30:00,1 days 00:00:00,2023-12-26 07:30:00,Janet Osborne,2023,2023-12,2023-12-26/2024-01-01,240,2023-12-26,décembre,Janet Osborne,Propriété 5,139,475,,,,,,,,,
76,Propriété 7,urgente,112,,2023-12-25 07:00:00,0 days 08:00:00,2023-12-25 15:00:00,Sandra Brown-Hewitt,2023,2023-12,2023-12-19/2023-12-25,80,2023-12-25,décembre,Sandra Brown-Hewitt,Propriété 7,112,119,,,,,,,,,
77,Propriété 7,urgente,446,,2023-12-24 21:30:00,0 days 10:00:00,2023-12-25 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-19/2023-12-25,100,2023-12-25,décembre,Bryan Davidson-Hughes,Propriété 7,446,91,,,,,,,,,
78,Propriété 15,urgente,382,,2023-12-24 20:30:00,0 days 12:00:00,2023-12-25 08:30:00,Linda Williamson,2023,2023-12,2023-12-19/2023-12-25,120,2023-12-25,décembre,Linda Williamson,Propriété 15,382,340,,,,,,,,,
79,Propriété 4,urgente,402,,2023-12-24 20:30:00,0 days 11:30:00,2023-12-25 08:00:00,Kimberley Roberts,2023,2023-12,2023-12-19/2023-12-25,110,2023-12-25,décembre,Kimberley Roberts,Propriété 4,402,760,,,,,,,,,
80,Propriété 18,urgente,382,,2023-12-24 20:00:00,0 days 12:00:00,2023-12-25 08:00:00,Karl Jones,2023,2023-12,2023-12-19/2023-12-25,120,2023-12-25,décembre,Karl Jones,Propriété 18,382,340,,,,,,,,,
81,Propriété 10,urgente,382,,2023-12-24 19:30:00,0 days 12:00:00,2023-12-25 07:30:00,Janet Osborne,2023,2023-12,2023-12-19/2023-12-25,120,2023-12-25,décembre,Janet Osborne,Propriété 10,382,340,,,,,,,,,
82,Propriété 19,urgente,815,,2023-12-24 19:00:00,0 days 13:00:00,2023-12-25 08:00:00,Damien Martin,2023,2023-12,2023-12-19/2023-12-25,130,2023-12-25,décembre,Damien Martin,Propriété 19,815,866,,,,,,,,,
83,Propriété 7,urgente,401,,2023-12-24 16:00:00,0 days 05:00:00,2023-12-24 21:00:00,Mrs Shannon Jones,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-24,décembre,Mrs Shannon Jones,Propriété 7,401,157,,,,,,,,,
84,Propriété 7,standard,112,,2023-12-23 21:30:00,0 days 10:00:00,2023-12-24 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-24,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
85,Propriété 4,standard,97,,2023-12-23 21:00:00,0 days 11:00:00,2023-12-24 08:00:00,Kimberley Roberts,2023,2023-12,2023-12-19/2023-12-25,55,2023-12-24,décembre,Kimberley Roberts,Propriété 4,97,760,,,,,,,,,
86,Propriété 12,standard,762,,2023-12-23 20:00:00,0 days 12:00:00,2023-12-24 08:00:00,Paige Oliver,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-24,décembre,Paige Oliver,Propriété 12,762,340,,,,,,,,,
87,Propriété 19,standard,762,,2023-12-23 20:00:00,0 days 12:00:00,2023-12-24 08:00:00,Damien Martin,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-24,décembre,Damien Martin,Propriété 19,762,340,,,,,,,,,
88,Propriété 10,standard,762,,2023-12-23 19:30:00,0 days 12:00:00,2023-12-24 07:30:00,Mr Donald Evans,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-24,décembre,Mr Donald Evans,Propriété 10,762,340,,,,,,,,,
89,Propriété 5,standard,762,,2023-12-23 19:30:00,0 days 12:00:00,2023-12-24 07:30:00,Janet Osborne,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-24,décembre,Janet Osborne,Propriété 5,762,340,,,,,,,,,
90,Propriété 7,standard,193,,2023-12-23 15:00:00,0 days 06:00:00,2023-12-23 21:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-19/2023-12-25,30,2023-12-23,décembre,Hollie Smith-Lawrence,Propriété 7,193,645,,,,,,,,,
91,Propriété 7,standard,235,,2023-12-23 07:00:00,0 days 07:00:00,2023-12-23 14:00:00,Hollie Smith-Lawrence,2023,2023-12,2023-12-19/2023-12-25,35,2023-12-23,décembre,Hollie Smith-Lawrence,Propriété 7,235,871,,,,,,,,,
92,Propriété 4,standard,178,,2023-12-22 22:30:00,0 days 09:30:00,2023-12-23 08:00:00,Kimberley Roberts,2023,2023-12,2023-12-19/2023-12-25,45,2023-12-23,décembre,Kimberley Roberts,Propriété 4,178,240,,,,,,,,,
93,Propriété 7,standard,112,,2023-12-22 21:30:00,0 days 10:00:00,2023-12-23 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-23,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
94,Propriété 12,standard,762,,2023-12-22 20:00:00,0 days 12:00:00,2023-12-23 08:00:00,Paige Oliver,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-23,décembre,Paige Oliver,Propriété 12,762,340,,,,,,,,,
95,Propriété 5,standard,762,,2023-12-22 19:30:00,0 days 12:00:00,2023-12-23 07:30:00,Janet Osborne,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-23,décembre,Janet Osborne,Propriété 5,762,340,,,,,,,,,
96,Propriété 7,standard,193,,2023-12-22 15:00:00,0 days 06:00:00,2023-12-22 21:00:00,Jade Doyle,2023,2023-12,2023-12-19/2023-12-25,30,2023-12-22,décembre,Jade Doyle,Propriété 7,193,645,,,,,,,,,
97,Propriété 7,standard,235,,2023-12-22 14:00:00,0 days 07:45:00,2023-12-22 21:45:00,Ms Lindsey Storey,2023,2023-12,2023-12-19/2023-12-25,35,2023-12-22,décembre,Ms Lindsey Storey,Propriété 7,235,871,,,,,,,,,
98,Propriété 13,standard,178,,2023-12-21 22:00:00,0 days 09:30:00,2023-12-22 07:30:00,Deborah Bradley,2023,2023-12,2023-12-19/2023-12-25,45,2023-12-22,décembre,Deborah Bradley,Propriété 13,178,240,,,,,,,,,
99,Propriété 7,standard,112,,2023-12-21 21:30:00,0 days 10:00:00,2023-12-22 07:30:00,Bryan Davidson-Hughes,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-22,décembre,Bryan Davidson-Hughes,Propriété 7,112,91,,,,,,,,,
100,Propriété 9,standard,97,,2023-12-21 20:30:00,0 days 11:00:00,2023-12-22 07:30:00,Henry Shaw,2023,2023-12,2023-12-19/2023-12-25,55,2023-12-22,décembre,Henry Shaw,Propriété 9,97,760,,,,,,,,,
101,Propriété 5,standard,762,,2023-12-21 19:30:00,0 days 12:00:00,2023-12-22 07:30:00,Dr Gavin Winter,2023,2023-12,2023-12-19/2023-12-25,60,2023-12-22,décembre,Dr Gavin Winter,Propriété 5,762,340,,,,,,,,,
102,Propriété 7,standard,112,,2023-12-20 21:30:00,0 days 10:00:00,2023-12-21 07:30:00,Mrs Shannon Jones,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-21,décembre,Mrs Shannon Jones,Propriété 7,112,91,,,,,,,,,
103,Propriété 9,standard,97,,2023-12-20 20:30:00,0 days 11:00:00,2023-12-21 07:30:00,Henry Shaw,2023,2023-12,2023-12-19/2023-12-25,55,2023-12-21,décembre,Henry Shaw,Propriété 9,97,760,,,,,,,,,
104,Propriété 15,standard,838,,2023-12-20 20:30:00,0 days 12:00:00,2023-12-21 08:30:00,Linda Williamson,2023,2023-12,2023-12-19/2023-12-25,72,2023-12-21,décembre,Linda Williamson,Propriété 15,838,340,,,,,,,,,
105,Propriété 7,standard,112,,2023-12-19 21:30:00,0 days 10:00:00,2023-12-20 07:30:00,Marcus Jones,2023,2023-12,2023-12-19/2023-12-25,50,2023-12-20,décembre,Marcus Jones,Propriété 7,112,91,,,,,,,,,
106,Propriété 9,standard,97,,2023-12-19 20:30:00,0 days 11:00:00,2023-12-20 07:30:00,Henry Shaw,2023,2023-12,2023-12-19/2023-12-25,55,2023-12-20,décembre,Henry Shaw,Propriété 9,97,760,,,,,,,,,
107,Propriété 15,standard,838,,2023-12-19 20:30:00,0 days 12:00:00,2023-12-20 08:30:00,Linda Williamson,2023,2023-12,2023-12-19/2023-12-25,72,2023-12-20,décembre,Linda Williamson,Propriété 15,838,340,,,,,,,,,
108,Propriété 16,standard,528,,2023-12-19 17:00:00,0 days 02:00:00,2023-12-19 19:00:00,Elizabeth Thomas,2023,2023-12,2023-12-19/2023-12-25,10,2023-12-19,décembre,Elizabeth Thomas,Propriété 16,528,200,,,,,,,,,
